A1	A2	A3	B1	B2	B3
otu_342	10	2	4	7	6	1
otu_343	9	4	7	6	4	7
otu_344	7	6	5	3	3	2
otu_345	6	2	6	8	9	7
otu_346	3	5	7	8	3	1
otu_347	8	3	1	9	1	1
otu_348	7	9	3	5	8	5
otu_349	4	5	4	4	7	2
otu_350	8	4	2	9	2	9
otu_351	3	3	1	2	1	7
otu_352	8	5	8	2	7	4
otu_353	6	2	4	9	6	1
otu_354	4	8	7	6	1	8
otu_355	7	9	5	10	7	2
otu_356	10	8	5	4	2	8
otu_357	8	8	10	10	5	8
otu_358	4	3	8	4	9	9
otu_359	10	2	6	5	1	10
otu_360	9	4	9	9	8	4
otu_361	6	6	5	9	1	7
otu_362	3	1	9	6	8	6
otu_363	4	6	4	6	6	1
otu_364	9	10	9	4	9	1
otu_365	9	4	7	6	8	3
otu_366	4	2	4	6	1	1
otu_367	4	4	3	2	3	6
otu_368	6	6	1	3	2	6
otu_369	5	6	7	3	4	8
otu_370	1	4	4	1	8	2
otu_371	8	5	6	1	4	9
otu_372	7	5	5	9	8	9
otu_373	5	10	9	2	10	9
otu_374	6	10	5	2	9	4
otu_375	3	4	1	1	7	4
otu_376	8	7	3	10	3	4
otu_377	10	7	8	6	2	8
otu_378	5	8	7	1	5	9
otu_379	7	7	4	10	5	1
otu_380	4	7	6	9	4	9
otu_381	9	8	4	3	5	1
otu_382	3	3	7	8	6	6
otu_383	10	6	1	10	4	1
otu_384	7	9	1	5	7	4
otu_385	2	2	8	5	8	2
otu_386	9	8	2	9	1	4
otu_387	6	2	4	9	10	7
otu_388	4	1	4	5	4	3
otu_389	6	8	2	8	6	5
otu_390	2	10	3	8	7	8
otu_391	2	10	1	7	8	7
otu_392	8	4	1	5	8	10
otu_393	8	9	1	2	2	7
otu_394	5	5	3	6	1	3
otu_395	9	3	2	8	3	5
otu_396	7	9	7	3	3	1
otu_397	3	4	3	6	8	3
otu_398	7	1	5	6	2	7
otu_399	8	9	8	9	8	3
otu_400	10	6	2	1	5	5
otu_401	5	10	4	1	6	1
otu_402	1	6	2	10	6	2
otu_403	7	4	1	10	8	1
otu_404	6	9	6	2	6	2
otu_405	8	5	7	3	9	5
otu_406	4	2	7	8	10	8
otu_407	6	2	8	4	9	9
otu_408	1	2	2	9	6	4
otu_409	3	8	4	8	10	6
otu_410	4	5	4	8	5	7
otu_411	1	9	4	7	8	3
otu_412	5	3	6	7	5	6
otu_413	4	6	6	1	4	1
otu_414	2	5	8	10	10	6
otu_415	7	2	10	4	10	5
otu_416	3	9	3	6	1	2
otu_417	10	4	6	7	8	3
otu_418	3	5	10	3	5	3
otu_419	1	1	5	6	3	4
otu_420	7	1	2	7	8	3
otu_421	6	2	5	8	6	6
otu_422	4	10	8	3	2	4
otu_423	5	10	6	1	4	10
otu_424	7	10	6	5	3	7
otu_425	3	7	2	1	10	10
otu_426	2	5	5	4	8	6
otu_427	8	7	8	4	6	2
otu_428	4	5	10	7	3	6
otu_429	6	4	9	9	4	9
otu_430	10	2	5	7	7	7
otu_431	7	5	1	3	6	3
otu_432	6	3	9	1	7	10
otu_433	1	3	2	10	8	2
otu_434	6	6	2	8	4	4
otu_435	8	1	4	1	1	3
otu_436	3	3	8	3	10	8
otu_437	2	5	8	4	10	4
otu_438	3	2	3	3	8	6
otu_439	1	8	4	5	6	5
otu_440	2	10	1	3	4	1
otu_441	2	5	2	5	7	3
otu_442	8	3	10	4	3	5
otu_443	10	8	2	1	3	4
otu_444	4	5	8	4	7	8
otu_445	9	3	5	3	9	8
otu_446	7	4	5	6	5	5
otu_447	8	4	1	7	2	10
otu_448	3	1	6	7	2	6
otu_449	6	4	1	8	5	9
otu_450	6	7	3	2	2	8
otu_451	8	9	3	10	9	3
otu_452	1	6	9	4	2	4
otu_453	2	5	5	5	5	4
otu_454	5	6	9	1	2	8
otu_455	8	3	2	10	5	9
otu_456	8	1	8	9	10	9
otu_457	7	7	2	2	3	2
otu_458	5	1	2	7	3	7
otu_459	1	10	8	3	6	4
otu_460	10	2	1	2	2	3
otu_461	9	3	7	5	9	3
otu_462	9	9	1	10	2	6
otu_463	7	4	5	7	5	1
otu_464	10	1	2	4	4	6
otu_465	4	7	1	5	10	8
otu_466	8	4	4	7	5	7
otu_467	4	2	1	3	2	9
otu_468	3	10	4	5	9	1
otu_469	7	3	2	4	10	5
otu_470	1	4	9	9	3	9
otu_471	6	4	8	8	6	5
otu_472	10	9	6	8	1	4
otu_473	10	2	5	10	5	10
otu_474	1	8	8	3	1	3
otu_475	7	3	8	2	7	1
otu_476	5	10	9	5	7	9
otu_477	6	5	4	7	7	9
otu_478	10	2	10	4	2	2
otu_479	6	4	8	8	9	10
otu_480	9	10	5	9	8	4
otu_481	8	5	9	3	2	8
otu_482	1	7	6	5	10	3
otu_483	6	2	7	3	5	4
otu_484	2	2	7	4	10	6
otu_485	8	10	6	4	6	8
otu_486	10	5	3	6	2	7
otu_487	8	9	7	7	10	2
otu_488	9	9	7	6	5	8
otu_489	8	1	3	6	6	3
otu_490	9	9	9	10	2	1
otu_491	9	2	8	2	6	6
otu_492	4	6	10	10	5	9
otu_493	1	2	3	4	6	8
otu_494	3	9	3	4	5	4
otu_495	8	5	3	10	5	4
otu_496	2	9	9	7	2	10
otu_497	1	8	2	9	1	2
otu_498	9	4	4	3	8	3
otu_499	7	3	2	7	4	6
otu_500	7	5	1	4	5	6
otu_501	4	8	2	4	7	5
otu_502	7	3	8	8	1	2
otu_503	4	1	10	7	5	10
otu_504	9	3	7	9	1	7
otu_505	4	2	6	2	8	3
otu_506	10	5	2	10	7	6
otu_507	9	2	6	7	1	3
otu_508	8	2	8	3	1	7
otu_509	7	10	6	9	7	8
otu_510	9	6	4	8	1	9
otu_511	3	6	6	10	8	8
otu_512	1	1	10	10	3	1
otu_513	7	3	3	5	7	7
otu_514	3	7	10	9	3	2
otu_515	7	7	1	10	10	6
otu_516	10	3	9	6	7	5
otu_517	3	10	5	3	10	8
otu_518	6	2	1	7	9	8
otu_519	7	4	2	9	4	10
otu_520	4	5	5	3	3	4
otu_521	10	1	8	1	4	6
otu_522	1	8	1	3	2	8
otu_523	8	10	3	10	2	3
otu_524	5	9	10	6	6	2
otu_525	3	3	4	1	1	1
otu_526	5	5	5	8	7	1
otu_527	5	8	8	2	10	10
otu_528	6	10	1	3	4	7
otu_529	9	3	6	4	5	2
otu_530	1	1	4	8	5	3
otu_531	4	1	8	6	8	5
otu_532	3	2	10	7	4	4
otu_533	5	10	4	9	4	9
otu_534	2	8	8	8	6	10
otu_535	1	9	4	7	3	3
otu_536	4	3	10	6	3	7
otu_537	4	10	2	7	7	4
otu_538	10	1	2	5	10	8
otu_539	10	2	3	8	8	4
otu_540	5	3	1	2	4	1
otu_541	6	6	9	4	6	3
otu_542	4	3	8	1	9	10
otu_543	3	10	5	2	10	4
otu_544	3	8	5	9	8	7
otu_545	1	2	3	5	2	6
otu_546	7	3	8	7	10	3
otu_547	5	5	4	4	3	7
otu_548	7	9	4	1	2	9
otu_549	9	10	3	8	1	10
otu_550	9	10	4	6	10	9
otu_551	8	1	9	10	9	3
otu_552	1	9	5	4	7	6
otu_553	5	3	9	5	9	7
otu_554	5	4	1	7	8	9
otu_555	8	1	2	1	2	9
otu_556	2	1	1	10	3	8
otu_557	6	6	10	6	8	4
otu_558	2	10	4	5	3	10
otu_559	4	7	10	3	10	4
otu_560	10	7	1	7	3	6
otu_561	7	10	10	5	9	6
otu_562	6	2	5	2	1	6
otu_563	8	5	3	2	1	3
otu_564	1	4	10	2	3	1
otu_565	8	9	6	9	6	8
otu_566	5	7	10	1	2	2
otu_567	9	7	5	6	4	5
otu_568	8	7	1	4	6	5
otu_569	10	7	2	10	3	8
otu_570	4	5	2	5	2	4
otu_571	9	9	10	7	1	1
otu_572	9	8	1	5	5	10
otu_573	4	9	4	4	7	3
otu_574	3	3	10	10	9	4
otu_575	7	6	7	5	1	8
otu_576	4	3	7	10	4	7
otu_577	8	2	2	3	1	5
otu_578	8	2	5	6	5	2
otu_579	5	6	1	6	3	3
otu_580	5	5	1	8	1	2
otu_581	8	10	10	1	6	1
otu_582	6	6	7	7	8	2
otu_583	4	1	5	1	1	6
otu_584	3	8	5	1	3	2
otu_585	10	7	3	1	10	10
otu_586	7	9	2	2	3	7
otu_587	5	7	4	6	6	2
otu_588	8	4	8	8	3	9
otu_589	9	2	6	5	7	7
otu_590	10	10	7	7	2	2
otu_591	3	1	9	6	3	10
otu_592	10	1	4	3	3	10
otu_593	8	6	10	2	8	3
otu_594	3	2	9	4	6	7
otu_595	2	10	8	6	2	4
otu_596	10	10	9	3	5	8
otu_597	8	2	10	1	1	1
otu_598	10	1	7	9	5	6
otu_599	7	2	8	6	2	9
otu_600	7	8	7	9	7	3
otu_601	6	8	6	5	1	7
otu_602	1	6	6	3	1	5
otu_603	4	2	5	5	10	4
otu_604	1	5	3	3	2	9
otu_605	5	10	7	1	10	8
otu_606	10	8	9	7	8	4
otu_607	10	2	3	2	5	2
otu_608	2	7	5	9	4	6
otu_609	7	5	6	8	8	7
otu_610	8	4	9	10	8	6
otu_611	3	9	4	4	5	10
otu_612	2	10	8	7	3	1
otu_613	6	2	9	9	10	10
otu_614	3	4	8	4	7	2
otu_615	9	1	7	7	7	6
otu_616	7	10	2	6	7	3
otu_617	9	3	10	9	1	9
otu_618	6	10	6	4	1	6
otu_619	8	10	9	10	8	7
otu_620	9	1	3	1	4	4
otu_621	5	5	3	7	3	1
otu_622	7	4	2	6	10	6
otu_623	9	6	6	9	3	2
otu_624	2	4	3	7	1	5
otu_625	8	9	9	1	8	6
otu_626	9	4	6	4	3	9
otu_627	8	7	7	5	9	9
otu_628	4	5	1	9	3	7
otu_629	7	5	1	1	5	1
otu_630	8	8	10	2	9	8
otu_631	2	3	8	10	3	1
otu_632	6	2	8	4	4	9
otu_633	1	7	7	8	4	7
otu_634	10	4	3	3	3	4
otu_635	6	2	3	2	5	9
otu_636	5	3	6	6	4	3
otu_637	10	3	1	1	5	2
otu_638	9	5	1	6	1	3
otu_639	2	5	10	2	4	2
otu_640	3	4	10	9	1	9
otu_641	3	2	3	5	2	2
otu_642	2	2	9	7	6	10
otu_643	10	6	5	6	4	6
otu_644	8	3	7	8	5	9
otu_645	8	6	10	1	2	2
otu_646	2	7	9	8	9	9
otu_647	6	10	2	8	10	7
otu_648	7	2	2	6	5	4
otu_649	1	10	3	2	9	9
otu_650	7	2	8	3	4	9
otu_651	8	7	10	9	1	2
otu_652	6	2	8	10	10	9
otu_653	10	1	7	1	7	4
otu_654	1	8	6	9	1	5
otu_655	7	6	6	3	10	2
otu_656	7	2	8	2	2	4
otu_657	3	9	7	8	2	8
otu_658	1	4	4	2	10	3
otu_659	8	6	7	8	3	3
otu_660	10	6	9	6	10	7
otu_661	1	9	5	8	6	4
otu_662	1	7	5	10	6	3
otu_663	2	9	9	8	8	6
otu_664	2	8	2	5	1	8
otu_665	4	7	1	10	1	7
otu_666	10	4	5	5	3	9
otu_667	10	9	3	10	2	5
otu_668	5	6	7	4	1	7
otu_669	9	9	8	3	4	7
otu_670	3	2	7	6	5	8
otu_671	7	9	4	5	1	1
otu_672	7	9	2	4	7	5
otu_673	2	2	7	2	6	6
otu_674	2	9	3	7	5	3
otu_675	5	8	6	3	6	8
otu_676	8	10	9	1	8	6
otu_677	4	9	10	2	10	6
otu_678	4	10	7	2	1	4
otu_679	7	2	1	7	4	3
otu_680	10	2	7	3	3	8
otu_681	5	10	2	7	4	1
otu_682	2	5	2	7	2	5
otu_683	2	10	5	8	6	3
otu_684	3	2	8	1	1	2
otu_685	6	4	8	2	3	4
otu_686	2	6	10	1	4	7
otu_687	10	4	6	6	7	4
otu_688	9	4	10	9	5	8
otu_689	3	10	10	6	1	2
otu_690	6	4	5	10	10	1
otu_691	3	8	5	3	7	3
otu_692	8	5	2	7	2	10
otu_693	1	2	9	5	9	4
otu_694	2	2	4	8	5	1
otu_695	5	4	5	8	3	7
otu_696	5	1	6	5	9	7
otu_697	4	1	1	6	8	10
otu_698	7	8	8	10	6	10
otu_699	3	2	2	4	6	5
otu_700	10	9	7	9	7	6
otu_701	7	6	9	1	2	9
otu_702	10	8	4	1	5	8
otu_703	7	8	4	9	3	8
otu_704	2	9	8	10	1	1
otu_705	2	10	7	6	9	5
otu_706	2	2	7	5	5	10
otu_707	3	10	8	3	8	6
otu_708	8	3	10	7	1	1
otu_709	9	8	8	10	10	2
otu_710	1	7	9	7	9	7
otu_711	7	3	7	4	1	7
otu_712	8	2	4	6	6	3
otu_713	1	3	10	8	2	5
otu_714	9	2	1	8	6	5
otu_715	3	9	7	1	1	7
otu_716	9	2	1	4	5	9
otu_717	2	1	5	4	10	4
otu_718	4	3	2	5	3	4
otu_719	8	4	7	2	5	6
otu_720	4	10	7	3	2	8
otu_721	2	3	7	8	3	5
otu_722	6	6	5	3	8	6
otu_723	3	5	7	3	5	9
otu_724	7	4	1	1	5	1
otu_725	3	8	3	4	3	7
otu_726	7	4	3	2	2	2
otu_727	7	7	9	8	8	1
otu_728	7	1	4	4	9	3
otu_729	7	2	1	3	4	3
otu_730	8	8	5	4	9	2
otu_731	8	3	1	8	8	6
otu_732	1	5	3	4	7	7
otu_733	5	4	7	3	4	7
otu_734	9	9	2	4	3	2
otu_735	1	3	9	2	6	5
otu_736	6	1	4	6	5	7
otu_737	9	4	2	1	8	7
otu_738	10	9	5	1	6	8
otu_739	10	1	4	10	3	1
otu_740	8	6	5	5	8	3
otu_741	8	5	3	9	6	3
otu_742	7	2	8	2	6	8
otu_743	7	7	10	3	3	8
otu_744	1	9	7	5	4	7
otu_745	10	7	7	6	8	5
otu_746	9	4	5	1	2	6
otu_747	8	4	7	8	10	3
otu_748	3	10	7	6	3	4
otu_749	8	10	2	3	6	2
otu_750	6	1	7	1	1	7
otu_751	1	9	6	3	4	1
otu_752	4	4	1	1	7	3
otu_753	3	8	1	10	5	10
otu_754	5	6	4	2	5	9
otu_755	7	1	7	8	1	7
otu_756	2	7	4	1	3	1
otu_757	8	1	5	10	6	6
otu_758	8	3	2	5	10	8
otu_759	4	6	9	10	9	5
otu_760	8	8	3	10	8	5
otu_761	10	2	4	8	5	8
otu_762	6	8	6	8	6	2
otu_763	2	2	2	3	3	1
otu_764	1	4	1	7	7	4
otu_765	9	1	9	2	5	4
otu_766	3	6	7	6	6	6
otu_767	5	4	7	5	6	6
otu_768	5	8	1	8	10	8
otu_769	9	7	7	2	3	5
otu_770	4	10	7	2	5	4
otu_771	10	10	10	7	4	1
otu_772	3	2	9	2	6	7
otu_773	3	5	10	4	10	2
otu_774	6	2	7	5	10	7
otu_775	10	4	6	8	2	6
otu_776	4	8	9	6	10	1
otu_777	7	1	5	9	10	2
otu_778	9	6	5	7	3	5
otu_779	3	8	8	2	3	7
otu_780	6	3	1	9	8	1
otu_781	5	6	2	1	10	7
otu_782	9	6	8	5	10	1
otu_783	4	2	4	10	2	4
otu_784	3	6	10	5	4	3
otu_785	7	7	8	1	2	4
otu_786	4	5	8	5	1	9
otu_787	5	1	10	7	9	7
otu_788	8	6	9	5	4	1
otu_789	7	4	3	10	8	10
otu_790	8	2	6	5	10	9
otu_791	6	4	5	9	6	1
otu_792	8	4	1	5	2	10
otu_793	7	1	4	10	6	6
otu_794	1	10	7	2	9	9
otu_795	6	6	1	3	3	6
otu_796	10	9	9	3	9	10
otu_797	6	1	10	10	3	1
otu_798	10	2	9	10	6	1
otu_799	4	7	1	7	8	1
otu_800	9	6	9	6	7	4
otu_801	9	7	10	9	2	4
otu_802	10	2	6	6	8	7
otu_803	4	5	10	2	1	4
otu_804	5	6	1	6	1	5
otu_805	9	10	7	1	8	2
otu_806	3	8	3	3	4	4
otu_807	3	7	3	7	9	4
otu_808	2	6	5	4	6	10
otu_809	7	4	1	7	1	6
otu_810	1	1	2	2	10	10
otu_811	3	2	7	9	7	4
otu_812	7	1	1	10	8	2
otu_813	2	5	8	1	2	9
otu_814	9	8	3	1	8	8
otu_815	5	9	6	2	6	9
otu_816	1	1	9	9	4	7
otu_817	10	1	1	10	10	8
otu_818	9	10	3	1	1	5
otu_819	9	10	5	7	10	5
otu_820	7	2	7	8	6	3
otu_821	2	9	2	7	10	9
