A1	A2	A3	B1	B2	B3
ASV_97	3	10	6	4	10	10
ASV_98	4	6	10	9	9	8
ASV_99	1	10	10	7	3	1
ASV_100	3	7	4	2	6	5
ASV_101	9	7	8	10	4	3
ASV_102	5	8	4	8	4	1
ASV_103	5	7	1	1	9	9
ASV_104	4	4	6	2	4	1
ASV_105	10	7	3	3	4	8
ASV_106	8	4	2	5	1	1
ASV_107	9	7	9	10	4	4
ASV_108	7	6	4	4	5	6
ASV_109	9	8	7	5	6	7
ASV_110	7	6	7	1	7	1
ASV_111	10	2	4	9	8	1
ASV_112	6	2	1	1	8	5
ASV_113	6	9	4	7	2	5
ASV_114	3	10	5	4	2	5
ASV_115	4	3	3	9	2	4
ASV_116	6	7	5	5	9	3
ASV_117	6	10	1	1	9	3
ASV_118	1	4	6	3	3	5
ASV_119	6	5	9	4	7	9
ASV_120	7	6	3	6	5	4
ASV_121	10	4	3	5	1	5
ASV_122	6	6	10	8	9	9
ASV_123	10	7	7	8	6	10
ASV_124	4	9	4	7	3	2
ASV_125	6	3	1	5	6	9
ASV_126	2	4	4	2	2	6
ASV_127	2	1	4	8	1	2
ASV_128	7	9	4	7	10	9
ASV_129	7	5	5	6	8	2
ASV_130	2	3	4	1	3	2
ASV_131	10	4	6	3	5	8
ASV_132	5	3	10	10	1	5
ASV_133	6	9	4	3	10	5
ASV_134	2	10	10	5	3	6
ASV_135	5	6	4	9	7	9
ASV_136	7	5	5	8	2	5
ASV_137	7	9	7	1	8	6
ASV_138	5	10	4	4	2	7
ASV_139	6	9	8	6	7	9
ASV_140	10	9	2	2	7	4
ASV_141	5	4	8	2	6	4
ASV_142	4	10	10	8	3	3
ASV_143	1	1	10	2	10	3
ASV_144	2	8	4	6	8	10
ASV_145	3	6	1	4	6	5
ASV_146	6	7	9	5	4	1
ASV_147	1	1	5	1	1	7
ASV_148	6	8	2	6	3	1
ASV_149	7	5	3	2	4	8
ASV_150	7	8	1	8	2	10
ASV_151	2	2	2	9	3	8
ASV_152	1	2	1	6	9	10
ASV_153	10	10	1	3	10	2
ASV_154	4	1	10	1	10	2
ASV_155	8	5	10	3	1	10
ASV_156	7	5	7	9	5	2
ASV_157	3	7	4	7	10	7
ASV_158	9	3	3	3	9	7
ASV_159	5	8	10	5	10	1
ASV_160	10	2	9	2	8	9
ASV_161	5	5	8	6	2	10
ASV_162	7	9	1	9	3	2
ASV_163	5	7	3	3	8	8
ASV_164	1	1	1	9	5	5
ASV_165	3	8	9	7	2	4
ASV_166	5	4	8	2	1	2
ASV_167	8	10	1	10	5	7
ASV_168	9	4	3	3	1	9
ASV_169	4	7	1	9	1	9
ASV_170	9	2	7	6	4	9
ASV_171	4	3	8	6	1	5
ASV_172	7	2	7	3	10	9
ASV_173	9	2	2	5	7	4
ASV_174	2	6	8	10	4	9
ASV_175	5	5	1	1	10	3
ASV_176	3	9	4	4	5	5
ASV_177	9	1	1	8	7	9
ASV_178	5	1	7	4	7	3
ASV_179	3	1	1	3	4	1
ASV_180	4	2	8	3	2	5
ASV_181	1	1	8	1	8	5
ASV_182	10	6	3	1	7	5
ASV_183	8	7	5	1	6	8
ASV_184	3	1	3	5	4	6
ASV_185	6	5	9	2	1	2
ASV_186	8	2	3	1	2	8
ASV_187	2	10	5	3	4	9
ASV_188	9	1	8	1	2	1
ASV_189	1	8	6	5	8	6
ASV_190	10	1	5	3	1	7
ASV_191	4	8	5	1	10	1
ASV_192	6	10	9	5	7	6
ASV_193	4	6	5	7	1	5
ASV_194	4	6	10	1	9	3
ASV_195	9	2	5	8	5	9
ASV_196	3	9	2	8	3	3
ASV_197	7	4	6	7	9	3
ASV_198	6	8	3	4	3	7
ASV_199	1	1	9	4	2	7
ASV_200	4	2	7	4	10	6
ASV_201	10	6	8	4	7	3
ASV_202	3	9	9	1	6	6
ASV_203	8	3	5	2	7	2
ASV_204	9	7	9	8	10	1
ASV_205	5	4	1	1	3	1
ASV_206	4	7	4	7	2	4
ASV_207	6	3	5	9	2	2
ASV_208	1	2	2	4	8	5
ASV_209	6	2	9	9	5	1
ASV_210	2	5	2	10	4	5
ASV_211	5	1	6	2	2	6
ASV_212	3	8	8	5	5	3
ASV_213	9	5	10	7	2	6
ASV_214	9	5	8	6	3	10
ASV_215	3	2	1	8	9	2
ASV_216	6	9	10	10	9	4
ASV_217	3	4	7	2	8	9
ASV_218	8	4	10	5	1	7
ASV_219	2	2	10	5	4	2
ASV_220	8	8	5	3	5	2
ASV_221	10	2	8	1	10	2
ASV_222	4	7	2	5	1	5
ASV_223	7	9	6	3	1	3
ASV_224	9	6	5	2	8	1
ASV_225	4	10	6	7	9	5
ASV_226	2	2	2	1	3	2
ASV_227	1	5	10	1	8	7
ASV_228	6	1	6	5	6	4
ASV_229	9	6	3	8	9	4
ASV_230	2	2	3	8	10	2
ASV_231	10	1	1	7	4	10
ASV_232	2	7	4	2	5	6
ASV_233	8	2	2	5	9	8
ASV_234	5	3	2	2	2	8
ASV_235	7	7	3	2	10	4
ASV_236	4	2	1	3	7	10
ASV_237	3	10	5	8	10	7
ASV_238	7	3	5	9	3	2
ASV_239	1	4	1	1	1	6
ASV_240	7	9	7	6	3	2
ASV_241	1	7	3	3	7	3
ASV_242	10	4	3	10	5	9
ASV_243	9	8	2	9	1	3
ASV_244	5	1	4	10	3	8
ASV_245	7	6	2	7	4	5
ASV_246	5	6	6	5	4	2
ASV_247	8	3	4	2	2	4
ASV_248	3	1	3	3	10	6
ASV_249	2	6	3	6	6	1
ASV_250	6	1	6	7	5	8
ASV_251	10	10	7	3	3	1
ASV_252	3	8	9	6	4	8
ASV_253	2	2	2	10	3	9
ASV_254	9	4	3	3	9	4
ASV_255	5	4	3	5	8	4
ASV_256	3	7	10	9	9	10
ASV_257	7	1	4	2	9	9
ASV_258	5	5	10	3	3	6
ASV_259	7	9	6	9	6	7
ASV_260	6	8	5	4	7	3
ASV_261	9	5	4	8	2	6
ASV_262	5	8	5	5	8	3
ASV_263	2	9	6	3	10	9
ASV_264	3	4	4	6	2	10
ASV_265	4	7	2	4	4	1
ASV_266	2	4	3	2	6	1
ASV_267	5	7	3	4	7	10
ASV_268	3	7	9	4	9	4
ASV_269	3	5	7	2	1	6
ASV_270	7	8	7	1	8	7
ASV_271	5	3	2	2	9	6
ASV_272	5	4	5	3	3	9
ASV_273	5	9	5	6	7	5
ASV_274	7	6	5	2	8	3
ASV_275	10	1	5	3	6	6
ASV_276	3	9	2	10	2	10
ASV_277	2	1	5	7	1	7
ASV_278	8	5	2	10	5	5
ASV_279	10	8	3	4	4	8
ASV_280	10	1	4	7	4	2
ASV_281	4	8	5	5	1	8
ASV_282	5	5	2	4	8	2
ASV_283	4	9	3	8	9	10
ASV_284	4	1	8	10	2	2
ASV_285	4	4	4	8	7	3
ASV_286	9	6	7	6	9	1
ASV_287	2	9	1	7	7	10
ASV_288	9	6	7	2	6	1
ASV_289	2	8	8	7	5	4
ASV_290	9	1	6	10	5	1
ASV_291	8	2	10	7	9	3
ASV_292	4	7	9	10	3	7
ASV_293	4	4	5	5	2	2
ASV_294	6	9	4	5	6	6
ASV_295	8	6	2	5	4	2
ASV_296	4	4	10	5	7	3
ASV_297	8	10	10	6	9	6
ASV_298	10	7	4	8	10	10
ASV_299	9	4	9	5	6	9
ASV_300	10	1	1	10	5	10
ASV_301	3	8	6	9	9	8
ASV_302	1	7	10	2	9	4
ASV_303	4	2	2	1	7	9
ASV_304	2	8	6	6	10	7
ASV_305	4	8	1	10	6	1
ASV_306	5	9	9	3	3	10
ASV_307	1	8	9	8	1	1
ASV_308	1	7	9	2	8	6
ASV_309	2	1	2	1	5	1
ASV_310	6	10	10	4	8	1
ASV_311	3	5	7	3	4	10
ASV_312	9	3	7	1	10	9
ASV_313	3	4	9	7	4	3
ASV_314	9	4	7	10	2	3
ASV_315	8	3	6	9	9	4
ASV_316	3	2	7	7	1	3
ASV_317	2	3	2	1	6	4
ASV_318	1	7	6	9	5	3
ASV_319	2	3	8	4	8	4
ASV_320	3	5	2	2	5	7
ASV_321	8	3	3	9	9	7
ASV_322	8	5	3	7	5	5
ASV_323	1	8	3	6	1	10
ASV_324	7	3	10	3	9	6
ASV_325	5	2	2	6	3	4
ASV_326	3	6	6	2	2	5
ASV_327	4	9	9	5	1	7
ASV_328	5	3	7	1	8	4
ASV_329	5	2	9	8	5	1
ASV_330	1	2	8	6	3	7
ASV_331	7	3	8	1	3	9
ASV_332	4	6	2	10	10	4
ASV_333	6	10	1	1	9	8
ASV_334	2	8	1	3	1	10
ASV_335	8	6	6	10	6	4
ASV_336	3	9	9	8	1	2
ASV_337	10	7	8	10	6	4
ASV_338	4	6	9	4	4	6
ASV_339	10	4	2	3	2	3
ASV_340	2	8	2	2	5	9
ASV_341	1	7	9	7	2	10
ASV_342	9	7	5	1	8	9
ASV_343	1	6	1	4	1	3
ASV_344	10	9	7	9	6	2
ASV_345	4	7	7	7	5	5
ASV_346	3	5	3	3	1	10
ASV_347	1	8	3	9	7	4
ASV_348	2	1	7	8	10	6
ASV_349	10	4	6	1	1	3
ASV_350	2	8	1	8	9	10
ASV_351	6	8	10	3	8	2
ASV_352	5	9	9	1	10	5
ASV_353	4	1	10	10	2	9
ASV_354	4	1	1	7	9	6
ASV_355	6	1	7	5	6	3
ASV_356	4	5	5	6	4	9
ASV_357	10	10	3	9	9	3
ASV_358	4	1	10	3	2	5
ASV_359	4	2	8	9	7	5
ASV_360	1	6	7	9	10	10
ASV_361	9	8	6	10	5	1
ASV_362	3	4	9	5	8	9
ASV_363	10	10	9	3	8	4
ASV_364	2	9	6	8	4	5
ASV_365	7	1	3	5	6	7
ASV_366	8	4	3	6	2	5
ASV_367	8	2	4	9	4	6
ASV_368	3	10	6	10	4	7
ASV_369	6	4	4	7	8	7
ASV_370	10	8	5	10	2	10
ASV_371	7	9	10	5	7	1
ASV_372	7	6	5	5	1	5
ASV_373	4	5	7	9	9	7
ASV_374	1	10	4	8	2	1
ASV_375	1	10	1	2	6	4
ASV_376	1	5	10	8	10	1
ASV_377	10	6	6	4	9	6
ASV_378	5	3	7	3	5	1
ASV_379	3	3	1	5	1	9
ASV_380	10	6	1	1	10	9
ASV_381	10	8	10	1	5	2
ASV_382	8	8	10	2	4	1
ASV_383	4	3	2	6	1	4
ASV_384	2	4	1	9	9	5
ASV_385	9	6	7	4	6	3
ASV_386	4	6	3	6	8	4
ASV_387	5	10	10	6	3	7
ASV_388	4	9	7	3	6	8
ASV_389	8	3	5	10	6	6
ASV_390	10	4	2	1	9	2
ASV_391	10	9	9	2	6	1
ASV_392	5	5	4	3	4	8
ASV_393	5	2	5	8	2	9
ASV_394	10	9	10	10	1	3
ASV_395	4	1	2	8	4	4
ASV_396	8	5	1	9	9	1
ASV_397	6	9	5	10	1	8
ASV_398	6	6	2	9	10	10
ASV_399	1	7	5	7	7	6
ASV_400	6	5	2	10	9	2
ASV_401	7	9	1	9	7	3
ASV_402	3	5	3	10	8	1
ASV_403	8	7	1	10	1	9
ASV_404	7	9	5	9	9	1
ASV_405	1	9	3	2	6	2
ASV_406	5	6	6	5	6	1
ASV_407	7	7	2	1	7	7
ASV_408	4	10	3	9	4	10
ASV_409	5	6	4	2	2	3
ASV_410	4	3	2	8	2	10
ASV_411	1	7	7	5	7	3
ASV_412	3	8	10	10	7	7
ASV_413	7	8	3	6	3	1
ASV_414	5	6	6	5	8	6
ASV_415	8	2	3	10	5	3
ASV_416	7	5	1	8	8	5
ASV_417	4	8	6	1	4	8
ASV_418	4	7	1	7	3	1
ASV_419	9	7	5	4	4	2
ASV_420	6	9	1	1	10	4
ASV_421	5	1	4	5	8	4
ASV_422	6	4	10	5	8	10
ASV_423	1	7	2	2	4	2
ASV_424	5	8	3	7	6	5
ASV_425	9	1	4	6	9	5
ASV_426	7	7	8	6	9	5
ASV_427	9	9	8	2	9	10
ASV_428	1	10	9	1	7	2
ASV_429	10	10	7	9	6	9
ASV_430	4	2	6	4	2	3
ASV_431	10	6	3	1	4	6
ASV_432	5	9	7	1	8	9
ASV_433	3	9	9	10	3	4
ASV_434	9	2	10	9	4	4
ASV_435	10	8	4	2	1	10
ASV_436	4	1	5	5	9	5
ASV_437	5	4	3	8	7	4
ASV_438	6	3	1	2	8	6
ASV_439	6	3	10	8	5	5
ASV_440	4	1	3	8	3	8
ASV_441	5	1	6	8	6	1
ASV_442	5	4	5	2	4	1
ASV_443	7	3	1	6	6	1
ASV_444	1	6	4	3	3	5
ASV_445	10	3	5	3	1	8
ASV_446	9	3	1	4	4	4
ASV_447	3	3	9	3	1	8
ASV_448	7	4	5	2	7	6
ASV_449	7	1	4	4	5	1
ASV_450	6	1	5	7	2	4
ASV_451	5	4	1	3	2	3
ASV_452	3	7	2	6	7	7
ASV_453	8	7	1	6	9	7
ASV_454	2	10	7	3	7	1
ASV_455	3	10	8	4	4	2
ASV_456	3	4	3	2	3	6
ASV_457	1	8	5	7	9	8
ASV_458	2	5	1	5	2	6
ASV_459	9	2	9	6	7	5
ASV_460	2	4	5	7	1	2
ASV_461	4	4	7	5	9	4
ASV_462	2	6	9	7	5	8
ASV_463	9	6	3	8	7	6
ASV_464	5	7	6	3	8	1
ASV_465	3	1	10	3	5	3
ASV_466	7	10	6	1	1	3
ASV_467	4	6	1	10	3	2
ASV_468	6	1	8	6	5	4
ASV_469	9	1	9	6	3	2
ASV_470	5	4	7	4	9	7
ASV_471	10	10	9	1	9	3
ASV_472	9	6	5	5	8	7
ASV_473	8	8	2	9	9	9
ASV_474	8	10	10	4	8	10
ASV_475	4	6	4	5	1	1
ASV_476	5	9	4	2	3	5
ASV_477	3	6	1	8	3	4
ASV_478	10	2	9	7	4	10
ASV_479	9	1	5	10	5	2
ASV_480	9	5	8	7	7	5
ASV_481	3	4	1	9	5	4
ASV_482	5	1	4	6	2	5
ASV_483	8	7	5	3	9	7
ASV_484	10	1	3	8	8	2
ASV_485	2	4	10	8	2	3
ASV_486	4	3	5	5	4	10
ASV_487	3	6	3	6	2	7
ASV_488	1	7	10	9	2	2
ASV_489	7	7	5	7	3	3
ASV_490	9	1	3	10	3	1
ASV_491	3	10	5	3	6	10
ASV_492	5	2	8	8	1	9
ASV_493	8	4	8	8	4	1
ASV_494	1	10	3	6	8	6
ASV_495	9	5	2	4	5	3
ASV_496	6	1	4	9	5	4
ASV_497	9	10	9	1	5	7
ASV_498	2	1	2	2	3	9
ASV_499	10	7	6	1	5	6
ASV_500	3	9	6	7	3	10
ASV_501	4	3	4	10	1	2
ASV_502	2	3	8	4	4	8
ASV_503	4	10	2	8	7	9
ASV_504	7	8	1	9	6	3
ASV_505	2	6	3	10	5	5
ASV_506	6	6	4	10	4	9
ASV_507	2	10	2	7	1	3
ASV_508	3	7	4	10	7	8
ASV_509	10	8	10	5	3	8
ASV_510	3	5	2	3	8	1
ASV_511	9	8	2	3	4	7
ASV_512	6	8	8	2	1	9
ASV_513	7	6	2	1	8	8
ASV_514	2	7	4	5	9	3
ASV_515	10	1	8	8	2	4
ASV_516	3	7	6	10	6	8
ASV_517	10	6	4	5	5	5
ASV_518	4	9	7	4	8	5
ASV_519	7	8	1	9	2	10
ASV_520	4	5	10	9	9	6
ASV_521	4	2	6	1	1	4
ASV_522	4	2	3	8	1	5
ASV_523	1	9	9	8	4	7
ASV_524	5	3	9	7	2	2
ASV_525	2	2	3	2	8	6
ASV_526	8	7	9	4	9	10
ASV_527	10	2	9	7	4	8
ASV_528	4	2	2	9	3	6
ASV_529	5	4	9	6	10	4
ASV_530	4	2	4	9	5	3
ASV_531	6	8	1	2	7	10
ASV_532	10	7	2	7	7	7
ASV_533	3	4	3	8	10	1
ASV_534	3	10	3	7	3	1
ASV_535	3	2	6	7	10	2
ASV_536	3	6	8	10	8	7
ASV_537	10	10	8	9	3	6
ASV_538	2	10	5	8	7	1
ASV_539	4	5	10	3	2	8
ASV_540	6	1	2	3	10	1
ASV_541	7	3	6	8	10	8
ASV_542	9	9	10	10	10	3
ASV_543	4	1	5	5	10	2
ASV_544	1	2	3	8	6	2
ASV_545	2	3	6	6	6	6
ASV_546	7	5	1	5	4	6
ASV_547	3	7	4	1	2	10
ASV_548	7	4	9	1	8	5
ASV_549	10	6	10	4	6	7
ASV_550	2	2	2	1	7	9
ASV_551	1	7	3	8	9	4
ASV_552	6	5	7	4	10	2
ASV_553	10	8	10	9	6	7
ASV_554	6	8	10	9	8	3
ASV_555	6	2	7	6	7	1
ASV_556	8	9	6	8	2	8
ASV_557	10	6	4	10	5	5
ASV_558	10	6	3	8	2	3
ASV_559	8	4	10	3	6	9
ASV_560	7	6	10	6	4	4
ASV_561	8	2	4	8	9	2
ASV_562	6	10	7	5	10	2
ASV_563	7	1	10	5	1	2
ASV_564	6	3	8	7	3	1
ASV_565	8	1	7	6	8	7
ASV_566	3	6	5	4	8	3
ASV_567	8	2	6	1	10	6
ASV_568	1	5	6	3	5	1
ASV_569	5	8	2	3	9	6
ASV_570	4	5	6	8	8	5
ASV_571	4	8	7	1	8	1
ASV_572	8	10	6	10	2	2
ASV_573	9	2	6	8	9	9
ASV_574	5	1	6	10	9	8
ASV_575	3	4	5	8	4	1
ASV_576	5	1	3	10	7	2
ASV_577	4	3	4	6	3	6
ASV_578	2	2	5	8	1	10
ASV_579	7	7	10	9	3	10
ASV_580	6	6	9	2	8	2
ASV_581	10	3	9	9	1	3
ASV_582	9	10	5	1	5	4
ASV_583	1	8	8	6	3	2
ASV_584	3	2	5	7	7	1
ASV_585	7	4	4	5	1	5
ASV_586	1	5	7	2	5	6
ASV_587	7	5	6	4	3	3
ASV_588	6	4	2	5	1	8
ASV_589	9	4	7	9	2	4
ASV_590	7	7	10	9	4	8
ASV_591	6	2	10	6	6	3
ASV_592	4	10	7	3	9	8
ASV_593	8	2	9	2	6	6
ASV_594	5	8	2	7	1	10
ASV_595	4	9	2	6	3	5
ASV_596	4	1	5	10	3	5
ASV_597	2	7	5	2	6	9
ASV_598	8	1	5	6	3	2
ASV_599	7	10	1	9	3	5
ASV_600	5	7	4	1	5	9
ASV_601	2	9	9	5	8	2
ASV_602	7	8	9	3	9	5
ASV_603	9	3	1	4	10	1
ASV_604	2	3	9	7	9	10
ASV_605	5	3	4	7	2	5
ASV_606	9	2	5	7	3	6
ASV_607	1	9	8	7	10	8
ASV_608	4	2	2	4	10	9
ASV_609	10	5	7	3	5	7
ASV_610	5	1	7	7	7	6
ASV_611	7	9	2	2	7	10
ASV_612	5	1	7	2	8	6
ASV_613	3	10	7	8	6	2
ASV_614	3	7	1	6	8	6
ASV_615	1	6	5	8	3	1
ASV_616	5	2	7	10	1	3
ASV_617	7	4	5	1	8	10
ASV_618	3	2	4	3	6	6
ASV_619	10	5	7	4	6	1
ASV_620	2	3	3	3	9	1
ASV_621	1	2	4	5	6	10
ASV_622	7	3	7	6	8	7
ASV_623	4	9	9	10	3	4
ASV_624	5	1	7	3	4	7
ASV_625	6	2	2	5	2	6
ASV_626	6	6	10	1	2	9
ASV_627	5	2	5	2	6	1
ASV_628	2	4	10	1	8	4
ASV_629	8	1	5	2	9	10
ASV_630	1	1	9	7	8	10
ASV_631	8	6	8	8	6	10
ASV_632	4	5	4	8	9	8
ASV_633	8	3	7	3	5	9
ASV_634	5	5	3	9	4	1
ASV_635	3	7	10	9	4	8
ASV_636	3	3	10	4	3	4
ASV_637	2	4	7	5	6	10
ASV_638	9	6	5	1	3	5
ASV_639	10	9	5	6	2	9
ASV_640	10	8	6	3	1	7
ASV_641	6	4	3	10	2	6
ASV_642	9	6	7	4	1	1
ASV_643	9	2	2	6	5	8
ASV_644	10	7	5	4	5	5
ASV_645	1	3	9	3	2	4
ASV_646	8	9	1	8	6	3
ASV_647	8	9	5	4	10	6
ASV_648	10	7	10	5	10	4
ASV_649	8	10	6	9	8	7
ASV_650	4	10	10	3	9	4
ASV_651	1	3	1	7	4	7
ASV_652	4	2	8	9	3	5
ASV_653	1	3	10	6	4	3
ASV_654	6	6	4	4	2	5
ASV_655	9	1	2	6	8	9
ASV_656	5	1	9	10	8	7
ASV_657	10	2	5	2	9	3
ASV_658	5	4	9	3	7	9
ASV_659	5	8	2	2	8	8
ASV_660	6	1	3	7	1	4
ASV_661	9	4	1	9	10	2
ASV_662	8	6	3	7	3	9
ASV_663	8	9	1	4	6	10
ASV_664	10	7	1	7	9	4
ASV_665	5	1	3	10	9	5
ASV_666	5	6	7	3	8	4
ASV_667	3	10	5	7	7	3
ASV_668	4	9	1	1	3	8
ASV_669	7	1	6	3	8	2
ASV_670	4	3	6	7	5	8
ASV_671	1	2	6	9	3	8
ASV_672	4	8	5	2	10	9
ASV_673	10	1	4	9	7	3
ASV_674	10	8	7	6	5	1
ASV_675	8	10	4	3	10	9
ASV_676	4	1	9	5	5	6
ASV_677	3	5	3	7	3	4
ASV_678	2	4	7	3	1	4
ASV_679	8	2	4	3	8	5
ASV_680	4	10	8	3	7	7
ASV_681	7	3	2	5	8	10
ASV_682	2	9	7	5	6	6
ASV_683	10	9	3	10	4	8
ASV_684	4	4	1	2	2	3
ASV_685	6	6	8	2	6	5
ASV_686	7	10	8	4	8	3
ASV_687	3	7	10	4	7	9
ASV_688	9	3	6	10	5	1
ASV_689	8	1	1	4	3	7
ASV_690	2	9	2	1	3	3
ASV_691	10	1	5	4	3	4
ASV_692	2	6	7	3	2	5
ASV_693	9	3	9	7	8	8
ASV_694	10	7	2	10	2	5
ASV_695	7	7	2	7	2	9
ASV_696	9	4	6	8	10	3
ASV_697	10	2	5	10	6	1
ASV_698	1	4	9	1	5	10
ASV_699	9	3	10	2	4	6
ASV_700	9	3	1	7	8	4
ASV_701	10	6	7	3	4	3
ASV_702	7	1	7	2	1	4
ASV_703	8	7	10	5	8	8
ASV_704	4	3	8	2	8	1
ASV_705	10	2	7	7	8	7
ASV_706	6	8	2	8	1	4
ASV_707	1	8	3	9	10	10
ASV_708	1	5	5	2	1	9
ASV_709	2	10	9	5	4	6
ASV_710	7	1	3	9	9	7
ASV_711	9	7	6	5	10	3
ASV_712	5	8	2	2	5	10
ASV_713	6	5	3	3	3	8
ASV_714	8	10	10	4	8	5
ASV_715	7	3	7	2	1	9
ASV_716	5	3	7	5	2	8
ASV_717	1	3	3	1	4	2
ASV_718	9	8	6	9	1	6
ASV_719	4	7	9	1	9	4
ASV_720	2	6	1	4	6	4
ASV_721	4	3	8	9	10	8
ASV_722	9	6	6	9	5	6
ASV_723	8	9	4	3	9	10
ASV_724	10	10	7	5	4	9
ASV_725	3	3	3	7	10	1
ASV_726	2	2	9	6	1	4
ASV_727	3	1	6	4	10	8
ASV_728	6	9	8	3	8	6
ASV_729	10	5	2	7	8	2
ASV_730	3	9	4	4	4	2
ASV_731	10	1	7	8	6	9
ASV_732	10	9	3	4	6	8
ASV_733	5	5	7	4	4	10
ASV_734	9	1	7	10	4	5
ASV_735	9	1	4	8	1	3
ASV_736	5	9	8	10	4	5
ASV_737	10	8	3	3	10	5
ASV_738	2	10	10	2	3	7
ASV_739	7	5	1	10	4	2
ASV_740	5	8	1	9	2	5
ASV_741	2	10	3	1	8	10
ASV_742	2	6	7	3	1	1
ASV_743	9	8	5	1	10	9
ASV_744	5	10	5	1	1	3
ASV_745	1	3	4	6	1	8
ASV_746	10	1	8	8	8	8
ASV_747	10	7	8	2	5	8
ASV_748	1	4	4	7	1	6
ASV_749	5	1	7	10	6	3
ASV_750	5	3	10	3	1	3
ASV_751	8	9	9	1	4	5
ASV_752	2	6	3	7	8	3
ASV_753	8	1	10	3	2	2
ASV_754	10	7	10	10	2	1
ASV_755	8	9	1	9	5	9
ASV_756	8	10	4	3	3	9
ASV_757	1	2	10	4	3	10
ASV_758	9	6	7	2	4	6
ASV_759	8	6	3	3	6	9
ASV_760	7	4	2	2	8	4
ASV_761	8	1	8	2	10	8
ASV_762	2	3	5	10	3	9
ASV_763	9	2	6	3	5	9
ASV_764	5	2	4	8	10	7
ASV_765	10	1	7	8	7	6
ASV_766	9	5	5	1	1	3
ASV_767	2	7	9	6	4	4
ASV_768	3	1	9	3	3	9
ASV_769	10	2	6	8	10	5
ASV_770	6	6	9	3	1	9
ASV_771	4	9	6	1	8	5
ASV_772	10	10	10	10	8	10
ASV_773	6	2	9	1	4	2
ASV_774	3	2	5	7	9	7
ASV_775	1	10	7	7	3	10
