OTU	P	RA	Group	Level	NegativeLogP
34	OTU34	0.805694046802819	1.19459287740756	Alphaproteobacteria	nosig	0.0938298453049861
35	OTU35	0.073383000283502	2.73900284507545	Alphaproteobacteria	nosig	1.13440453597157
36	OTU36	0.503906172537245	2.26547219880158	Alphaproteobacteria	nosig	0.297650321774324
37	OTU37	0.770536560646724	0.694926277606282	Alphaproteobacteria	nosig	0.113206749923593
38	OTU38	0.255587539041881	3.12754361463012	Alphaproteobacteria	nosig	0.592460323664148
39	OTU39	0.352271957253106	2.76257170214085	Alphaproteobacteria	nosig	0.453121927624804
40	OTU40	0.270044496085029	0.788758857862558	Alphaproteobacteria	nosig	0.568564669870511
41	OTU41	0.185660021263175	2.81975205274066	Alphaproteobacteria	nosig	0.73128160414405
42	OTU42	0.443819019023795	2.16308360344265	Alphaproteobacteria	nosig	0.352794090837444
43	OTU43	0.443038109980989	2.26626398700755	Alphaproteobacteria	nosig	0.353558914312879
44	OTU44	0.400403178378474	4.17480911947787	Alphaproteobacteria	nosig	0.397502483773253
45	OTU45	0.194822510355152	3.61195704957936	Alphaproteobacteria	nosig	0.71036086492031
46	OTU46	0.18186576027656	2.31158943990013	Alphaproteobacteria	nosig	0.740249057520669
47	OTU47	0.271382394479588	2.63025810166728	Alphaproteobacteria	nosig	0.566418329956943
48	OTU48	0.492664327740204	1.25016253414797	Alphaproteobacteria	nosig	0.307448882471277
49	OTU49	0.302674008347094	0.425511131668463	Alphaproteobacteria	nosig	0.519024871795623
50	OTU50	0.864936329575721	1.98691070168279	Alphaproteobacteria	nosig	0.0630158610110938
51	OTU51	0.0935396083397791	0.114885669166688	Alphaproteobacteria	nosig	1.02900445286058
52	OTU52	0.470090070494916	4.34412236964563	Alphaproteobacteria	nosig	0.32781892212553
53	OTU53	0.808978603361174	4.96344758477062	Alphaproteobacteria	nosig	0.0920629648711144
54	OTU54	0.165804296976421	3.55883417169098	Alphaproteobacteria	nosig	0.780404218484378
55	OTU55	0.582900584570598	4.14224167705979	Alphaproteobacteria	nosig	0.234405509141599
56	OTU56	0.246204820135608	4.46488653410925	Alphaproteobacteria	nosig	0.608703448814106
57	OTU57	0.171155067731161	2.72008312679827	Alphaproteobacteria	nosig	0.766610237308485
58	OTU58	0.765642471087631	2.7988022796344	Alphaproteobacteria	nosig	0.115973983737734
59	OTU59	0.900293091195635	1.41837742454372	Alphaproteobacteria	nosig	0.0456160825969319
60	OTU60	0.405739637091756	3.31302973282291	Alphaproteobacteria	nosig	0.391752563581435
61	OTU61	0.681859434896614	1.25500445010839	Alphaproteobacteria	nosig	0.166305145784415
62	OTU62	0.140098627877887	1.47691771357786	Alphaproteobacteria	nosig	0.853566118161621
63	OTU63	0.414771155908238	3.59311574473977	Alphaproteobacteria	nosig	0.382191453019374
64	OTU64	0.310664462344721	3.65129148395499	Alphaproteobacteria	nosig	0.507708423894395
65	OTU65	0.823908036935609	0.906563041545451	Alphaproteobacteria	nosig	0.0841212607304108
66	OTU66	0.476090524322353	1.56624073112616	Alphaproteobacteria	nosig	0.322310462246277
67	OTU67	0.819561135396361	1.88104101968929	Alphaproteobacteria	nosig	0.0864186445645216
68	OTU68	0.821770034043584	0.434721693885513	Alphaproteobacteria	nosig	0.0852496993929514
69	OTU69	0.804625205055345	3.58009343452286	Alphaproteobacteria	nosig	0.0944063671848406
70	OTU70	0.467840103222989	2.77706750892103	Alphaproteobacteria	nosig	0.329902553236669
71	OTU71	0.76675140070729	0.72253371195402	Alphaproteobacteria	nosig	0.11534542197229
72	OTU72	0.647760074981488	4.87211028566817	Alphaproteobacteria	nosig	0.188585823460103
73	OTU73	0.724673281284049	2.83171763651771	Alphaproteobacteria	nosig	0.139857750831321
74	OTU74	0.0505935346591286	3.9526264391141	Alphaproteobacteria	nosig	1.29590497804685
75	OTU75	0.501550745393615	4.25212471707491	Alphaproteobacteria	nosig	0.299685119813055
76	OTU76	0.259112940903287	4.39630678492831	Alphaproteobacteria	nosig	0.586510896460173
77	OTU77	0.410825710836798	4.01235805066535	Alphaproteobacteria	nosig	0.386342384633829
78	OTU78	0.632132453110535	3.21873500805814	Alphaproteobacteria	nosig	0.199191912812519
79	OTU79	0.384208013780881	3.16319241574965	Alphaproteobacteria	nosig	0.415433580899315
80	OTU80	0.155578653130215	1.39347457323456	Alphaproteobacteria	nosig	0.808049992588923
81	OTU81	0.281438499083742	0.198202135798056	Alphaproteobacteria	nosig	0.550616493980227
82	OTU82	0.684652808075771	2.12832786403596	Alphaproteobacteria	nosig	0.164529606262396
83	OTU83	0.446764440694824	1.80940162166953	Alphaproteobacteria	nosig	0.349921400965084
84	OTU84	0.798786042327993	1.99203970715171	Alphaproteobacteria	nosig	0.0975695324253873
85	OTU85	0.147721412044484	0.901087320223451	Alphaproteobacteria	nosig	0.830556549652275
86	OTU86	0.463148104422726	1.63222849074518	Alphaproteobacteria	nosig	0.33428010909384
87	OTU87	0.985709130985197	2.09709756798111	Alphaproteobacteria	nosig	0.00625122039783749
88	OTU88	0.898398558679037	3.80871169865131	Alphaproteobacteria	nosig	0.0465309534944204
89	OTU89	0.892145607748535	1.39585651523666	Alphaproteobacteria	nosig	0.0495642583133607
90	OTU90	0.216300017759204	0.622133162373211	Alphaproteobacteria	nosig	0.664943444903378
91	OTU91	0.174160906986799	0.195216244249605	Alphaproteobacteria	nosig	0.759049322263148
92	OTU92	0.670446828787681	4.04393372450722	Alphaproteobacteria	nosig	0.173635659094651
93	OTU93	0.376340648648329	2.42662586100632	Alphaproteobacteria	nosig	0.424418870890199
94	OTU94	0.673920221568551	4.04092730442062	Alphaproteobacteria	nosig	0.171391512045157
95	OTU95	0.354354580363724	0.441078124300111	Alphaproteobacteria	nosig	0.450561949204612
96	OTU96	0.22830656330334	0.620920177246444	Alphaproteobacteria	nosig	0.641481603334767
97	OTU97	0.793179586250335	0.690610633057077	Alphaproteobacteria	nosig	0.100628471588417
98	OTU98	0.138915237376932	3.70680528306402	Alphaproteobacteria	nosig	0.857250114623973
99	OTU99	0.493440089491196	3.79763774055755	Alphaproteobacteria	nosig	0.306765569200708
100	OTU100	0.535930186905898	4.96265377736418	Alphaproteobacteria	nosig	0.270891780113634
101	OTU101	0.61998951130081	3.14153728705132	Betaproteobacteria	nosig	0.207615657635152
102	OTU102	0.36618236330105	1.47901603743667	Betaproteobacteria	nosig	0.436302576761481
103	OTU103	0.514182381983846	1.03956328312634	Betaproteobacteria	nosig	0.288882808164338
104	OTU104	0.956750136124901	4.01454335112358	Betaproteobacteria	nosig	0.0192014673127243
105	OTU105	0.50875727731036	3.65242541600019	Betaproteobacteria	nosig	0.29348936553453
106	OTU106	0.895832711015828	1.12438747476554	Betaproteobacteria	nosig	0.0477730834917988
107	OTU107	0.918716277566273	3.73398060159525	Betaproteobacteria	nosig	0.0368185888445316
108	OTU108	0.628298233204987	4.33993585596327	Betaproteobacteria	nosig	0.201834161532515
109	OTU109	0.440155287703965	2.6705584941199	Betaproteobacteria	nosig	0.356394076479837
110	OTU110	0.189739956392441	3.01326080708532	Betaproteobacteria	nosig	0.721841203568367
111	OTU111	0.938534813106526	4.69128004499944	Betaproteobacteria	nosig	0.0275496134425804
112	OTU112	0.336167454975657	4.75608428691048	Betaproteobacteria	nosig	0.473444333753893
113	OTU113	0.107684542972129	3.31963489139453	Betaproteobacteria	nosig	0.967846630812256
114	OTU114	0.950340593035799	0.407818575564306	Betaproteobacteria	nosig	0.0221207197988256
115	OTU115	0.734566459758207	4.14034131437074	Betaproteobacteria	nosig	0.133968905386963
116	OTU116	0.18517958081793	2.42374318609945	Betaproteobacteria	nosig	0.73240690332903
117	OTU117	0.571820423263125	1.98658247787971	Betaproteobacteria	nosig	0.242740337344453
118	OTU118	0.956386676628608	1.53065773957642	Betaproteobacteria	nosig	0.0193664826472077
119	OTU119	0.606209185463376	1.2593258353183	Betaproteobacteria	nosig	0.217377487358309
120	OTU120	0.434284767659847	2.13796015217667	Betaproteobacteria	nosig	0.362225403051514
121	OTU121	0.665498805360403	4.69196237571305	Betaproteobacteria	nosig	0.176852719792387
122	OTU122	0.353829586238135	1.3592013270827	Betaproteobacteria	nosig	0.451205855420805
123	OTU123	0.342334010323975	2.86441533234902	Betaproteobacteria	nosig	0.465549952272308
124	OTU124	0.258779249701183	1.05081361008342	Betaproteobacteria	nosig	0.587070550652367
125	OTU125	0.401014422543813	1.00438785313163	Betaproteobacteria	nosig	0.396840007632797
126	OTU126	0.985008243296761	3.6071281385608	Betaproteobacteria	nosig	0.00656013498125545
127	OTU127	0.196492185781244	1.60191358285956	Betaproteobacteria	nosig	0.706654716227821
128	OTU128	0.136491799890064	0.735031130316202	Betaproteobacteria	nosig	0.864893439242056
129	OTU129	0.184811562392861	0.337251953862142	Betaproteobacteria	nosig	0.733270861436617
130	OTU130	0.705506746436004	4.65894322362728	Betaproteobacteria	nosig	0.151498828931717
131	OTU131	0.638293659221381	2.86327315984527	Betaproteobacteria	nosig	0.194979469809335
132	OTU132	0.896824411291163	0.632963284722064	Betaproteobacteria	nosig	0.0472925788868124
133	OTU133	0.689349137980025	2.84573268342065	Betaproteobacteria	nosig	0.161560763152454
134	OTU134	0.750223851029295	2.72426810533507	Betaproteobacteria	nosig	0.124809132926228
135	OTU135	0.545078939490486	4.10742846650537	Betaproteobacteria	nosig	0.263540597718706
136	OTU136	0.67684652719181	3.52974854429485	Betaproteobacteria	nosig	0.169509795051573
137	OTU137	0.830715187138412	2.86035444935551	Betaproteobacteria	nosig	0.0805478496887095
138	OTU138	0.796967474115081	3.62048086811556	Betaproteobacteria	nosig	0.0985594026949631
139	OTU139	0.980830821499694	3.7745988567709	Betaproteobacteria	nosig	0.00840589539812638
140	OTU140	0.467459959432017	1.93804185391637	Betaproteobacteria	nosig	0.330255582957144
141	OTU141	0.346117091970518	1.47565089232521	Gammaproteobacteria	nosig	0.460776953825786
142	OTU142	0.439001204981469	2.68183246946428	Gammaproteobacteria	nosig	0.357534287693905
143	OTU143	0.0599437562399544	1.33524805320194	Gammaproteobacteria	nosig	1.2222560464559
144	OTU144	0.224657047807705	4.16736207301728	Gammaproteobacteria	nosig	0.64847995242825
145	OTU145	0.850592852942646	2.05655122953467	Gammaproteobacteria	nosig	0.0702782707409834
146	OTU146	0.26960369294975	0.409528031607624	Gammaproteobacteria	nosig	0.569274163261667
147	OTU147	0.277144957869314	4.77110519184498	Gammaproteobacteria	nosig	0.557293018170035
148	OTU148	0.122856607066933	1.12505972561194	Gammaproteobacteria	nosig	0.910601482769146
149	OTU149	0.283437494130339	2.05784507027129	Gammaproteobacteria	nosig	0.547542700253544
150	OTU150	0.745528445253149	3.14705816147616	Gammaproteobacteria	nosig	0.127535781612995
151	OTU151	0.855080506845843	3.16060377884423	Gammaproteobacteria	nosig	0.0679929940052573
152	OTU152	0.522650903731119	1.67478138776496	Gammaproteobacteria	nosig	0.281788294316061
153	OTU153	0.418513578351121	0.737601985118818	Gammaproteobacteria	nosig	0.378290447091743
154	OTU154	0.284126544441096	4.57755299357232	Gammaproteobacteria	nosig	0.546488190543971
155	OTU155	0.155541638238356	3.0156240380602	Gammaproteobacteria	nosig	0.808153331161202
156	OTU156	0.420494713482913	3.76055512500461	Gammaproteobacteria	nosig	0.376239459841412
157	OTU157	0.593338548287284	4.59882598858094	Gammaproteobacteria	nosig	0.226697435305536
158	OTU158	0.256048124667723	2.66738871011185	Gammaproteobacteria	nosig	0.591678400651465
159	OTU159	0.472529601922724	1.89129479284165	Gammaproteobacteria	nosig	0.325570979643608
160	OTU160	0.257091135287192	0.375751189526636	Gammaproteobacteria	nosig	0.589912897928238
161	OTU161	0.527184585097711	4.27913112234091	Gammaproteobacteria	nosig	0.278037297019656
162	OTU162	0.38620934325736	2.57653594190488	Gammaproteobacteria	nosig	0.413177223886424
163	OTU163	0.667485900875181	1.08949039017316	Gammaproteobacteria	nosig	0.175557903351817
164	OTU164	0.405978258780669	1.91042501161573	Gammaproteobacteria	nosig	0.39149722342873
165	OTU165	0.387673111748882	1.07645922405645	Gammaproteobacteria	nosig	0.41153431976669
166	OTU166	0.557003548182547	2.32324204529868	Gammaproteobacteria	nosig	0.254142038307074
167	OTU167	0.753317642374896	1.24543613789137	Gammaproteobacteria	nosig	0.123021861458503
168	OTU168	0.260047790932003	0.637517095811199	Gammaproteobacteria	nosig	0.584946831141662
169	OTU169	0.442108812683728	0.408722291095182	Gammaproteobacteria	nosig	0.354470828089448
170	OTU170	0.302402352506761	3.47039975678781	Gammaproteobacteria	nosig	0.519414834610214
171	OTU171	0.648474400793202	1.47044021526817	Gammaproteobacteria	nosig	0.188107163471481
172	OTU172	0.224637066246942	0.789591852971353	Gammaproteobacteria	nosig	0.6485185813856
173	OTU173	0.870461905864067	4.86353844542755	Gammaproteobacteria	nosig	0.0602502302158439
174	OTU174	0.75923960392829	2.08204623212805	Gammaproteobacteria	nosig	0.119621146051104
175	OTU175	0.684870417241473	2.03897857844131	Gammaproteobacteria	nosig	0.164391592596145
176	OTU176	0.637116979598068	3.26035392574267	Gammaproteobacteria	nosig	0.195780820522288
177	OTU177	0.403626157215331	4.58571341134375	Gammaproteobacteria	nosig	0.394020696830125
178	OTU178	0.553343901562039	1.12247758771991	Gammaproteobacteria	nosig	0.257004872077955
179	OTU179	0.880948225723114	2.76259441584116	Gammaproteobacteria	nosig	0.0550496147928163
180	OTU180	0.602662594791036	3.61424976643175	Gammaproteobacteria	nosig	0.219925762870846
181	OTU181	0.847779376548715	2.01636772596976	Gammaproteobacteria	nosig	0.0717171524764929
182	OTU182	0.346825756668113	0.515306893375237	Gammaproteobacteria	nosig	0.459888657552616
183	OTU183	0.722875806107186	3.19273720495403	Gammaproteobacteria	nosig	0.140936310389255
184	OTU184	0.301766915782355	0.0622701107873581	Gammaproteobacteria	nosig	0.520328375828708
185	OTU185	0.614626034337562	1.09209003702272	Gammaproteobacteria	nosig	0.211389047838707
186	OTU186	0.507225310464855	3.41116290697828	Gammaproteobacteria	nosig	0.294799083357865
187	OTU187	0.301781094889156	4.33763619522797	Gammaproteobacteria	nosig	0.52030797013526
188	OTU188	0.586360913037788	4.00850072198082	Gammaproteobacteria	nosig	0.231834987578691
189	OTU189	0.917528811877128	0.718232171842829	Gammaproteobacteria	nosig	0.0373802893180679
190	OTU190	0.906780670024455	1.96811637552455	Gammaproteobacteria	nosig	0.0424977463655376
191	OTU191	0.310458290425595	3.95293604870094	Gammaproteobacteria	nosig	0.507996738336875
192	OTU192	0.355408618587535	3.47992264967179	Gammaproteobacteria	nosig	0.449272044849163
193	OTU193	0.986358840158209	2.99165120836114	Gammaproteobacteria	nosig	0.00596505874112085
194	OTU194	0.638993644679431	0.663095374288969	Gammaproteobacteria	nosig	0.194503461238125
195	OTU195	0.940448384697083	2.79763660856988	Gammaproteobacteria	nosig	0.026665035154932
196	OTU196	0.493206067208666	2.27458636955125	Gammaproteobacteria	nosig	0.306971589539734
197	OTU197	0.436490963597316	3.84252431700006	Gammaproteobacteria	nosig	0.360024742795626
198	OTU198	0.67626880799653	0.179183722182643	Gammaproteobacteria	nosig	0.169880643370738
199	OTU199	0.19472928600153	1.0160985877621	Gammaproteobacteria	nosig	0.71056872853952
200	OTU200	0.594223705306649	4.41211109585129	Gammaproteobacteria	nosig	0.22605002692058
201	OTU9998	1e-23	5	Gammaproteobacteria	enriched	23
202	OTU201	0.276789725502022	0.593517887673806	Deltaproteobacteria	nosig	0.557850035026673
203	OTU202	0.964240989612881	4.8443270932883	Deltaproteobacteria	nosig	0.0158144107244964
204	OTU203	0.621297439676709	1.95673303488875	Deltaproteobacteria	nosig	0.206700436080379
205	OTU204	0.539278240886051	4.30002746615792	Deltaproteobacteria	nosig	0.268187102526154
206	OTU205	0.43244467509212	4.44255453529768	Deltaproteobacteria	nosig	0.364069446208665
207	OTU206	0.886234214168508	2.47100291779498	Deltaproteobacteria	nosig	0.0524514875048622
208	OTU207	0.39588727154769	3.604554454342	Deltaproteobacteria	nosig	0.402428461333085
209	OTU208	0.323827316658571	2.45919258425711	Deltaproteobacteria	nosig	0.489686518851045
210	OTU209	0.212112973351032	4.94410886164987	Deltaproteobacteria	nosig	0.673432768152656
211	OTU210	0.213563159061596	0.370518091507256	Deltaproteobacteria	nosig	0.670473663610758
212	OTU211	0.507940475246869	0.830430750746746	Deltaproteobacteria	nosig	0.294187179028084
213	OTU212	0.290316682087723	3.93747566109523	Deltaproteobacteria	nosig	0.537128008155624
214	OTU213	0.255442050134297	2.73383203455014	Deltaproteobacteria	nosig	0.592707608881235
215	OTU214	0.690657568676397	2.11190935889026	Deltaproteobacteria	nosig	0.16073722454366
216	OTU215	0.0952804460539483	4.99446911255363	Deltaproteobacteria	nosig	1.02099621837756
217	OTU216	0.715810433099978	1.31558192917146	Deltaproteobacteria	nosig	0.145201975958967
218	OTU217	0.38429420653265	2.56398457216565	Deltaproteobacteria	nosig	0.415336162738011
219	OTU218	0.438496798032429	0.440907328983303	Deltaproteobacteria	nosig	0.358033573568008
220	OTU219	0.829903757758439	4.0776584039093	Deltaproteobacteria	nosig	0.0809722689467288
221	OTU220	0.92291448074393	1.94178684267681	Deltaproteobacteria	nosig	0.0348385397776807
222	OTU221	0.318401913600974	4.02080440428108	Deltaproteobacteria	nosig	0.497024330809224
223	OTU222	0.963049554021563	1.02972200197401	Deltaproteobacteria	nosig	0.0163513655396133
224	OTU223	0.741974706854671	4.73467886254657	Deltaproteobacteria	nosig	0.12961089911541
225	OTU224	0.702056327904575	1.7610787475016	Deltaproteobacteria	nosig	0.153628041834945
226	OTU225	0.100201745633967	2.6341487241094	Deltaproteobacteria	nosig	0.999124712474804
227	OTU226	0.425459127908107	0.602855631860439	Deltaproteobacteria	nosig	0.371142154443213
228	OTU227	0.503953110857401	4.43557551346021	Deltaproteobacteria	nosig	0.297609869592588
229	OTU228	0.58224060049979	4.77356211740989	Deltaproteobacteria	nosig	0.234897513843559
230	OTU229	0.713348515122198	0.249884777457919	Deltaproteobacteria	nosig	0.146698238430798
231	OTU230	0.91989936149912	2.49340013378533	Deltaproteobacteria	nosig	0.0362596825852133
232	OTU231	0.637433666002471	1.16901533884229	Deltaproteobacteria	nosig	0.195565003032051
233	OTU232	0.457000433315989	4.3010616794345	Deltaproteobacteria	nosig	0.340083388143162
234	OTU233	0.564976348855998	2.67813188236905	Deltaproteobacteria	nosig	0.247969732315646
235	OTU234	0.105554564157501	0.0729588464600965	Deltaproteobacteria	nosig	0.976522983146833
236	OTU235	0.297814014204778	1.42392239683541	Deltaproteobacteria	nosig	0.526054869550263
237	OTU236	0.427294355642516	1.65975555814803	Deltaproteobacteria	nosig	0.369272843970773
238	OTU237	0.237857499846723	2.96409606923116	Deltaproteobacteria	nosig	0.623683150358453
239	OTU238	0.840331184689421	1.2859392686747	Deltaproteobacteria	nosig	0.0755495194899292
240	OTU239	0.195242861681618	0.263430540042464	Deltaproteobacteria	nosig	0.709424835499088
241	OTU240	0.81324761492433	0.597859998501372	Deltaproteobacteria	nosig	0.0897772017340537
242	OTU241	0.569484848727006	3.53358136942843	Deltaproteobacteria	nosig	0.244517825933936
243	OTU242	0.679201759910211	4.69815513218055	Deltaproteobacteria	nosig	0.168001197442692
244	OTU243	0.213113569188863	1.59028663928621	Deltaproteobacteria	nosig	0.671388897370569
245	OTU244	0.651402591832448	0.438540004286915	Deltaproteobacteria	nosig	0.186150517775612
246	OTU245	0.346276259433944	1.64263325214852	Deltaproteobacteria	nosig	0.460577282491157
247	OTU246	0.73832662908826	3.14328240756877	Deltaproteobacteria	nosig	0.131751467677314
248	OTU247	0.428992833429947	2.22919715510216	Deltaproteobacteria	nosig	0.367549962891791
249	OTU248	0.970888590579852	4.01665923810797	Deltaproteobacteria	nosig	0.0128306025043075
250	OTU249	0.969028452085331	1.4324548350065	Deltaproteobacteria	nosig	0.0136634712441237
251	OTU250	0.740367412066553	2.87503030727385	Deltaproteobacteria	nosig	0.130552705358276
252	OTU251	0.294355909130536	0.258533659647219	Deltaproteobacteria	nosig	0.531127241397504
253	OTU252	0.260698537924327	0.994051404553466	Deltaproteobacteria	nosig	0.583861404478689
254	OTU253	0.613393369095866	3.6490780299413	Deltaproteobacteria	nosig	0.212260923137754
255	OTU254	0.304145360528491	4.14211574902292	Deltaproteobacteria	nosig	0.516918803933074
256	OTU255	0.554516878922004	2.57806932297535	Deltaproteobacteria	nosig	0.256085229837417
257	OTU256	0.796027087722905	2.86024452048587	Deltaproteobacteria	nosig	0.099072153558279
258	OTU257	0.209657770011108	0.0557213077321649	Deltaproteobacteria	nosig	0.678489037813629
259	OTU258	0.43417922196677	0.761701610696036	Deltaproteobacteria	nosig	0.362330963933404
260	OTU259	0.497997463750653	4.33653706096811	Deltaproteobacteria	nosig	0.302772869051329
261	OTU260	0.874701466539409	0.458677249739412	Deltaproteobacteria	nosig	0.0581401453284747
262	OTU261	0.929422558052465	1.26062487618765	Deltaproteobacteria	nosig	0.0317867909503099
263	OTU262	0.887878681335133	4.90863862953847	Deltaproteobacteria	nosig	0.0516463716382389
264	OTU263	0.690477500390261	2.90902733325493	Deltaproteobacteria	nosig	0.160850468592312
265	OTU264	0.952658630372025	1.281195504067	Deltaproteobacteria	nosig	0.0210626938054442
266	OTU265	0.540622649539728	3.09402207117528	Deltaproteobacteria	nosig	0.267105763365252
267	OTU266	0.5976930702338	0.207198737678118	Deltaproteobacteria	nosig	0.223521779429274
268	OTU267	0.369514645612799	0.774796544131823	Deltaproteobacteria	nosig	0.43236834378398
269	OTU268	0.379958399839234	3.53021122126374	Deltaproteobacteria	nosig	0.420263949986501
270	OTU269	0.0690230855252594	0.374525507178623	Deltaproteobacteria	nosig	1.16100563043077
271	OTU270	0.527672393352259	3.12794495838461	Deltaproteobacteria	nosig	0.277635626551325
272	OTU271	0.877491242962424	4.68977045868523	Deltaproteobacteria	nosig	0.056757208938576
273	OTU272	0.0559857447515242	0.485078343190253	Deltaproteobacteria	nosig	1.2519225402057
274	OTU273	0.118454267794732	4.86537737117615	Deltaproteobacteria	nosig	0.926449287441748
275	OTU274	0.206000663747545	0.178753017040435	Deltaproteobacteria	nosig	0.686131380303507
276	OTU275	0.78181737056002	3.63987836241722	Deltaproteobacteria	nosig	0.106894684563074
277	OTU276	0.748425090522505	2.29584663852584	Deltaproteobacteria	nosig	0.125851661454206
278	OTU277	0.973281853890512	2.85260290469741	Deltaproteobacteria	nosig	0.0117613736437149
279	OTU278	0.493148757994641	4.37001867911313	Deltaproteobacteria	nosig	0.307022056318637
280	OTU279	0.120665287645534	2.79508773908019	Deltaproteobacteria	nosig	0.918417647485039
281	OTU280	0.666377218102571	3.70137842593249	Deltaproteobacteria	nosig	0.176279858872377
282	OTU281	0.770663511031307	3.1344893519301	Acidobacteria	nosig	0.113135203272853
283	OTU282	0.180250776954927	1.58959060866619	Acidobacteria	nosig	0.744122854616799
284	OTU283	0.426755364891142	1.99137259881245	Acidobacteria	nosig	0.369821010510889
285	OTU284	0.263736062741373	1.05033290437423	Acidobacteria	nosig	0.578830481587883
286	OTU285	0.105060632503591	4.27126292851753	Acidobacteria	nosig	0.978559988912763
287	OTU286	0.426098053890746	3.05380924656056	Acidobacteria	nosig	0.370490449339655
288	OTU287	0.111681884981226	3.79268516849261	Acidobacteria	nosig	0.952017264580903
289	OTU288	0.264592111273669	2.83445820327615	Acidobacteria	nosig	0.577423108301909
290	OTU289	0.101897653646301	1.41570011338918	Acidobacteria	nosig	0.991835816191767
291	OTU290	0.686767937580589	3.69101409809664	Acidobacteria	nosig	0.163189988491991
292	OTU291	0.332854693487752	2.76893497962737	Acidobacteria	nosig	0.477745314808268
293	OTU292	0.145685503189452	1.76332886752207	Acidobacteria	nosig	0.836583661668993
294	OTU293	0.118308892357163	2.59907989222556	Acidobacteria	nosig	0.926982611614598
295	OTU294	0.886418540345039	4.08805134054273	Acidobacteria	nosig	0.0523611688099878
296	OTU295	0.766535031970125	2.65504921812098	Acidobacteria	nosig	0.115467992350829
297	OTU296	0.825775593228173	1.05504824689124	Acidobacteria	nosig	0.0831379573573786
298	OTU297	0.983033354987856	4.24813301820541	Acidobacteria	nosig	0.00743174601180225
299	OTU298	0.148419662716333	1.88394636450103	Acidobacteria	nosig	0.82850855968014
300	OTU299	0.144089737883769	1.55145959587535	Acidobacteria	nosig	0.841366948673552
301	OTU300	0.808890030614566	3.8644553823513	Acidobacteria	nosig	0.0921105171313284
302	OTU301	0.7953465032042	3.68057034722296	Acidobacteria	nosig	0.0994436239919317
303	OTU302	0.058958409843035	4.20258469145047	Acidobacteria	nosig	1.2294542382716
304	OTU303	0.790112588647753	2.86679176995531	Acidobacteria	nosig	0.10231101865327
